,unique_id,ds,cutoff,NHITS,KAN,MLP,MLP1,y,SeasonalNaive,SeasonalNaive-lo-99,SeasonalNaive-hi-99,is_anomaly,trend_str,seas_str
14,M10,1993-11-30,1993-08-31,4745.7266,4340.384,4420.4688,4000.0718,5060.0,6400.0,1551.6213877464088,11248.378612253591,0,Stationary,Non-seasonal
15,M10,1993-12-31,1993-08-31,4498.5923,3802.0112,4028.915,3834.8452,3460.0,3880.0,-968.3786122535912,8728.378612253591,0,Stationary,Non-seasonal
16,M10,1994-01-31,1993-08-31,4846.442,4464.9575,4402.547,4106.6323,6260.0,5080.0,231.6213877464088,9928.378612253591,0,Stationary,Non-seasonal
17,M10,1994-02-28,1993-08-31,4492.5205,4022.8506,4314.7285,3849.9802,6140.0,4760.0,-88.3786122535912,9608.378612253591,0,Stationary,Non-seasonal
18,M10,1994-03-31,1993-08-31,4616.265,4465.3574,4333.407,4051.5842,4380.0,4460.0,-388.3786122535912,9308.378612253591,0,Stationary,Non-seasonal
19,M10,1994-04-30,1993-08-31,4723.936,5058.855,4467.3647,4170.0767,5080.0,7580.0,2731.621387746409,12428.378612253591,0,Stationary,Non-seasonal
20,M10,1994-05-31,1993-08-31,4143.857,4162.035,3881.2812,3803.5076,4740.0,5740.0,891.6213877464088,10588.378612253591,0,Stationary,Non-seasonal
21,M10,1994-06-30,1993-08-31,3327.4556,2893.2937,3060.717,2939.6968,3800.0,1780.0,-3068.378612253591,6628.378612253591,0,Stationary,Non-seasonal
22,M10,1994-07-31,1993-08-31,3078.9497,2717.4868,2754.7449,2715.1626,5060.0,1480.0,-3368.378612253591,6328.378612253591,0,Stationary,Non-seasonal
23,M10,1994-08-31,1993-08-31,3680.3162,3496.789,3412.468,3257.8499,4260.0,4600.0,-248.3786122535912,9448.378612253591,0,Stationary,Non-seasonal
24,M100,1993-10-31,1993-09-30,5655.9893,5713.6885,5763.5073,5653.6113,5200.0,7330.0,4162.739126618825,10497.260873381176,0,Non-stationary,Seasonal
25,M100,1993-11-30,1993-09-30,5491.3574,5625.698,5486.124,5544.1753,5700.0,5930.0,2762.739126618825,9097.260873381176,0,Non-stationary,Seasonal
26,M100,1993-12-31,1993-09-30,5694.0215,5877.221,5893.5225,5706.9966,6790.0,7270.0,4102.739126618825,10437.260873381176,0,Non-stationary,Seasonal
27,M100,1994-01-31,1993-09-30,5567.373,5431.8433,5498.369,5497.6836,7230.0,5580.0,2412.739126618825,8747.260873381176,0,Non-stationary,Seasonal
28,M100,1994-02-28,1993-09-30,5537.6978,5670.231,5626.6885,5530.685,6230.0,6080.0,2912.739126618825,9247.260873381176,0,Non-stationary,Seasonal
29,M100,1994-03-31,1993-09-30,5757.475,5851.991,5819.469,5819.4185,5480.0,6900.0,3732.739126618825,10067.260873381176,0,Non-stationary,Seasonal
30,M100,1994-04-30,1993-09-30,5462.3643,5527.1006,5460.623,5359.49,5160.0,5840.0,2672.739126618825,9007.260873381176,0,Non-stationary,Seasonal
31,M100,1994-05-31,1993-09-30,5507.587,5393.7227,5326.328,5332.328,5210.0,4810.0,1642.7391266188251,7977.260873381175,0,Non-stationary,Seasonal
32,M100,1994-06-30,1993-09-30,5568.716,5659.7236,5628.359,5474.897,5750.0,6440.0,3272.739126618825,9607.260873381176,0,Non-stationary,Seasonal
33,M100,1994-07-31,1993-09-30,5476.0537,5427.3877,5410.418,5287.5327,5920.0,5790.0,2622.739126618825,8957.260873381176,0,Non-stationary,Seasonal
34,M100,1994-08-31,1993-09-30,5503.86,5426.847,5442.9536,5308.5625,5950.0,5350.0,2182.739126618825,8517.260873381176,0,Non-stationary,Seasonal
35,M100,1994-09-30,1993-09-30,5534.549,5482.741,5528.686,5323.929,5430.0,5480.0,2312.739126618825,8647.260873381176,0,Non-stationary,Seasonal
36,M1000,1992-03-31,1992-02-29,4451.3965,4426.998,4451.558,4341.3716,4451.8,4332.0,3871.8212569458706,4792.178743054129,0,Non-stationary,Non-seasonal
37,M1000,1992-04-30,1992-02-29,4471.1777,4520.072,4465.8223,4432.2476,4496.0,4383.6,3923.421256945871,4843.778743054129,0,Non-stationary,Non-seasonal
38,M1000,1992-05-31,1992-02-29,4456.6724,4440.5947,4537.0234,4361.3384,4494.8,4373.8,3913.6212569458708,4833.978743054129,0,Non-stationary,Non-seasonal
39,M1000,1992-06-30,1992-02-29,4476.0884,4435.442,4552.574,4388.1606,4505.8,4403.8,3943.6212569458708,4863.978743054129,0,Non-stationary,Non-seasonal
40,M1000,1992-07-31,1992-02-29,4473.02,4425.7183,4492.7817,4324.74,4501.2,4368.0,3907.8212569458706,4828.178743054129,0,Non-stationary,Non-seasonal
41,M1000,1992-08-31,1992-02-29,4490.636,4414.28,4408.1587,4376.249,4554.6,4372.0,3911.8212569458706,4832.178743054129,0,Non-stationary,Non-seasonal
42,M1000,1992-09-30,1992-02-29,4537.587,4461.8716,4467.0684,4365.1577,4580.6,4447.6,3987.421256945871,4907.778743054129,0,Non-stationary,Non-seasonal
43,M1000,1992-10-31,1992-02-29,4539.853,4483.6304,4494.849,4351.0776,4563.4,4454.6,3994.421256945871,4914.778743054129,0,Non-stationary,Non-seasonal
44,M1000,1992-11-30,1992-02-29,4525.013,4477.1035,4447.8823,4373.636,4551.8,4397.8,3937.6212569458708,4857.978743054129,0,Non-stationary,Non-seasonal
45,M1000,1992-12-31,1992-02-29,4509.0654,4481.1865,4510.5933,4343.848,4577.4,4377.2,3917.0212569458704,4837.378743054129,0,Non-stationary,Non-seasonal
46,M1000,1993-01-31,1992-02-29,4532.0537,4488.3213,4474.2607,4305.7773,4592.4,4420.6,3960.421256945871,4880.778743054129,0,Non-stationary,Non-seasonal
47,M1000,1993-02-28,1992-02-29,4539.32,4493.829,4529.8037,4278.9585,4632.2,4446.6,3986.421256945871,4906.778743054129,0,Non-stationary,Non-seasonal
48,M1001,1992-03-31,1992-02-29,6368.1606,6368.951,6400.5317,6236.37,6405.0,6524.8,5725.998997327041,7323.601002672959,0,Non-stationary,Non-seasonal
49,M1001,1992-04-30,1992-02-29,6377.5337,6472.115,6382.265,6332.4263,6401.6,6507.3,5708.498997327041,7306.101002672959,0,Non-stationary,Non-seasonal
50,M1001,1992-05-31,1992-02-29,6357.389,6356.7383,6476.5586,6236.313,6489.6,6454.2,5655.398997327041,7253.001002672959,0,Non-stationary,Non-seasonal
51,M1001,1992-06-30,1992-02-29,6372.325,6307.9097,6469.148,6247.5,6456.6,6397.6,5598.798997327041,7196.401002672959,0,Non-stationary,Non-seasonal
52,M1001,1992-07-31,1992-02-29,6338.217,6267.9746,6348.4863,6107.029,6527.1,6314.3,5515.498997327041,7113.101002672959,0,Non-stationary,Non-seasonal
53,M1001,1992-08-31,1992-02-29,6366.7188,6243.161,6235.954,6186.192,6634.5,6316.3,5517.498997327041,7115.101002672959,0,Non-stationary,Non-seasonal
54,M1001,1992-09-30,1992-02-29,6414.9395,6277.913,6279.5117,6141.1587,6643.4,6324.7,5525.898997327041,7123.501002672959,0,Non-stationary,Non-seasonal
55,M1001,1992-10-31,1992-02-29,6417.032,6324.9814,6329.8525,6143.2617,6684.1,6324.4,5525.598997327041,7123.201002672959,0,Non-stationary,Non-seasonal
56,M1001,1992-11-30,1992-02-29,6439.0806,6387.835,6341.887,6227.2515,6675.2,6410.7,5611.898997327041,7209.501002672959,0,Non-stationary,Non-seasonal
57,M1001,1992-12-31,1992-02-29,6407.3423,6404.6875,6429.8706,6196.803,6644.0,6378.9,5580.098997327041,7177.701002672959,0,Non-stationary,Non-seasonal
58,M1001,1993-01-31,1992-02-29,6429.8604,6381.9023,6356.0674,6127.084,6704.4,6329.3,5530.498997327041,7128.101002672959,0,Non-stationary,Non-seasonal
59,M1001,1993-02-28,1992-02-29,6437.283,6399.8257,6435.8765,6075.162,6691.6,6369.4,5570.598997327041,7168.201002672959,0,Non-stationary,Non-seasonal
60,M1002,1992-03-31,1992-02-29,5420.45,5354.91,5385.303,5255.7524,5420.0,5172.8,4460.410927676223,5885.1890723237775,0,Non-stationary,Non-seasonal
61,M1002,1992-04-30,1992-02-29,5438.7485,5428.6064,5359.26,5322.9487,5467.2,5119.2,4406.8109276762225,5831.589072323777,0,Non-stationary,Non-seasonal
62,M1002,1992-05-31,1992-02-29,5425.579,5323.4097,5455.878,5224.6855,5525.8,5098.6,4386.210927676223,5810.989072323778,0,Non-stationary,Non-seasonal
63,M1002,1992-06-30,1992-02-29,5452.7554,5274.1807,5422.3105,5233.462,5589.2,5075.6,4363.210927676223,5787.989072323778,0,Non-stationary,Non-seasonal
64,M1002,1992-07-31,1992-02-29,5444.111,5260.384,5353.9707,5147.6616,5612.8,5040.4,4328.010927676222,5752.789072323777,0,Non-stationary,Non-seasonal
65,M1002,1992-08-31,1992-02-29,5486.778,5244.1074,5266.606,5216.5527,5643.0,5048.2,4335.8109276762225,5760.589072323777,0,Non-stationary,Non-seasonal
66,M1002,1992-09-30,1992-02-29,5524.884,5291.3984,5314.5684,5194.8237,5659.4,5146.2,4433.8109276762225,5858.589072323777,0,Non-stationary,Non-seasonal
67,M1002,1992-10-31,1992-02-29,5546.164,5336.245,5382.3115,5192.25,5671.2,5176.0,4463.610927676223,5888.389072323777,0,Non-stationary,Non-seasonal
68,M1002,1992-11-30,1992-02-29,5554.4956,5375.8926,5361.164,5271.381,5670.2,5214.2,4501.8109276762225,5926.589072323777,0,Non-stationary,Non-seasonal
69,M1002,1992-12-31,1992-02-29,5557.469,5422.1885,5459.6577,5274.9507,5713.6,5245.8,4533.410927676223,5958.1890723237775,0,Non-stationary,Non-seasonal
70,M1002,1993-01-31,1992-02-29,5596.2036,5451.9106,5441.219,5253.7114,5753.0,5342.6,4630.210927676223,6054.989072323778,0,Non-stationary,Non-seasonal
71,M1002,1993-02-28,1992-02-29,5609.6113,5461.3184,5525.762,5230.406,5794.2,5378.0,4665.610927676223,6090.389072323777,0,Non-stationary,Non-seasonal
72,M1003,1992-03-31,1992-02-29,5696.8403,5682.5312,5711.6577,5570.2207,5728.6,5678.1,5092.555675032214,6263.644324967787,0,Non-stationary,Non-seasonal
73,M1003,1992-04-30,1992-02-29,5710.688,5785.3604,5710.225,5669.3853,5739.9,5714.4,5128.855675032213,6299.944324967786,0,Non-stationary,Non-seasonal
74,M1003,1992-05-31,1992-02-29,5696.366,5692.4575,5806.001,5587.1543,5802.4,5684.0,5098.455675032214,6269.544324967786,0,Non-stationary,Non-seasonal
75,M1003,1992-06-30,1992-02-29,5717.0493,5670.0107,5814.8555,5608.9067,5768.1,5684.5,5098.955675032214,6270.044324967786,0,Non-stationary,Non-seasonal
76,M1003,1992-07-31,1992-02-29,5706.614,5660.4688,5735.6655,5519.212,5835.8,5651.8,5066.255675032215,6237.344324967786,0,Non-stationary,Non-seasonal
77,M1003,1992-08-31,1992-02-29,5723.607,5640.1035,5627.177,5584.464,5885.1,5657.0,5071.455675032214,6242.544324967786,0,Non-stationary,Non-seasonal
78,M1003,1992-09-30,1992-02-29,5780.4214,5687.6865,5686.7803,5562.763,5863.0,5698.4,5112.855675032213,6283.944324967786,0,Non-stationary,Non-seasonal
79,M1003,1992-10-31,1992-02-29,5780.276,5721.26,5723.5938,5546.95,5895.8,5699.8,5114.255675032215,6285.344324967786,0,Non-stationary,Non-seasonal
80,M1003,1992-11-30,1992-02-29,5780.999,5744.7705,5699.765,5603.9497,5852.3,5709.8,5124.255675032215,6295.344324967786,0,Non-stationary,Non-seasonal
81,M1003,1992-12-31,1992-02-29,5758.8438,5759.331,5789.4517,5575.32,5852.6,5702.1,5116.555675032214,6287.644324967787,0,Non-stationary,Non-seasonal
82,M1003,1993-01-31,1992-02-29,5770.2534,5726.5327,5702.1895,5491.2515,5884.5,5641.4,5055.855675032213,6226.944324967786,0,Non-stationary,Non-seasonal
83,M1003,1993-02-28,1992-02-29,5784.909,5744.0283,5782.7837,5459.3228,5889.1,5696.0,5110.455675032214,6281.544324967786,0,Non-stationary,Non-seasonal
84,M1004,1992-03-31,1992-02-29,6235.823,6297.793,6330.5317,6170.956,6317.0,6557.0,5532.925847373477,7581.074152626523,0,Non-stationary,Non-seasonal
85,M1004,1992-04-30,1992-02-29,6243.415,6411.049,6329.311,6279.019,6238.0,6551.0,5526.925847373477,7575.074152626523,0,Non-stationary,Non-seasonal
86,M1004,1992-05-31,1992-02-29,6201.8345,6276.3867,6386.325,6165.4053,6202.0,6462.0,5437.925847373477,7486.074152626523,0,Non-stationary,Non-seasonal
87,M1004,1992-06-30,1992-02-29,6218.695,6248.8525,6407.5835,6199.7573,6236.0,6394.0,5369.925847373477,7418.074152626523,0,Non-stationary,Non-seasonal
88,M1004,1992-07-31,1992-02-29,6196.2915,6229.331,6307.9873,6068.5005,6178.0,6386.0,5361.925847373477,7410.074152626523,0,Non-stationary,Non-seasonal
89,M1004,1992-08-31,1992-02-29,6221.0776,6192.7627,6176.5933,6134.8965,6257.0,6333.0,5308.925847373477,7357.074152626523,0,Non-stationary,Non-seasonal
90,M1004,1992-09-30,1992-02-29,6271.966,6244.5557,6247.8174,6100.724,6267.0,6366.0,5341.925847373477,7390.074152626523,0,Non-stationary,Non-seasonal
91,M1004,1992-10-31,1992-02-29,6287.426,6291.7314,6284.467,6103.81,6220.0,6356.0,5331.925847373477,7380.074152626523,0,Non-stationary,Non-seasonal
92,M1004,1992-11-30,1992-02-29,6298.933,6344.1357,6283.571,6170.8687,6157.0,6414.0,5389.925847373477,7438.074152626523,0,Non-stationary,Non-seasonal
93,M1004,1992-12-31,1992-02-29,6267.5493,6379.8086,6397.1924,6171.726,5998.0,6417.0,5392.925847373477,7441.074152626523,0,Non-stationary,Non-seasonal
94,M1004,1993-01-31,1992-02-29,6302.465,6343.3994,6314.332,6087.7505,5970.0,6370.0,5345.925847373477,7394.074152626523,0,Non-stationary,Non-seasonal
95,M1004,1993-02-28,1992-02-29,6274.641,6292.697,6316.5244,5975.0107,6072.0,6235.0,5210.925847373477,7259.074152626523,0,Non-stationary,Non-seasonal
96,M1005,1992-03-31,1992-02-29,4476.257,4479.329,4509.838,4393.054,4505.4,4655.4,4166.330671763273,5144.469328236726,0,Non-stationary,Non-seasonal
97,M1005,1992-04-30,1992-02-29,4470.963,4542.043,4477.392,4441.889,4522.0,4601.6,4112.530671763274,5090.669328236727,0,Non-stationary,Non-seasonal
98,M1005,1992-05-31,1992-02-29,4447.2754,4447.443,4527.159,4364.2036,4555.2,4535.8,4046.730671763274,5024.869328236727,0,Non-stationary,Non-seasonal
99,M1005,1992-06-30,1992-02-29,4467.6685,4438.3877,4546.051,4395.466,4575.0,4544.4,4055.3306717632736,5033.469328236726,0,Non-stationary,Non-seasonal
100,M1005,1992-07-31,1992-02-29,4452.099,4433.4097,4487.419,4316.7715,4574.0,4531.4,4042.3306717632736,5020.469328236726,0,Non-stationary,Non-seasonal
101,M1005,1992-08-31,1992-02-29,4484.585,4420.0776,4414.136,4379.9756,4562.8,4520.0,4030.930671763274,5009.0693282367265,0,Non-stationary,Non-seasonal
102,M1005,1992-09-30,1992-02-29,4501.351,4437.363,4436.62,4340.6245,4551.6,4510.8,4021.730671763274,4999.869328236727,0,Non-stationary,Non-seasonal
103,M1005,1992-10-31,1992-02-29,4495.218,4450.1587,4445.0503,4317.4404,4536.0,4484.2,3995.1306717632738,4973.269328236726,0,Non-stationary,Non-seasonal
104,M1005,1992-11-30,1992-02-29,4501.882,4476.994,4437.907,4356.7305,4538.4,4508.0,4018.930671763274,4997.0693282367265,0,Non-stationary,Non-seasonal
105,M1005,1992-12-31,1992-02-29,4480.694,4489.321,4500.8755,4340.555,4526.8,4477.0,3987.930671763274,4966.0693282367265,0,Non-stationary,Non-seasonal
106,M1005,1993-01-31,1992-02-29,4510.6055,4481.418,4464.667,4303.65,4533.6,4465.6,3976.5306717632743,4954.669328236727,0,Non-stationary,Non-seasonal
107,M1005,1993-02-28,1992-02-29,4512.3247,4492.267,4516.8423,4267.047,4573.2,4476.8,3987.730671763274,4965.869328236727,0,Non-stationary,Non-seasonal
108,M1006,1992-03-31,1992-02-29,6333.0,6366.1143,6405.506,6236.4136,6343.1,6633.3,5818.695744923504,7447.904255076496,0,Non-stationary,Non-seasonal
109,M1006,1992-04-30,1992-02-29,6335.824,6473.2207,6386.3604,6333.277,6326.85,6609.05,5794.445744923504,7423.654255076496,0,Non-stationary,Non-seasonal
110,M1006,1992-05-31,1992-02-29,6311.0083,6348.769,6461.4463,6231.0073,6346.65,6544.55,5729.945744923504,7359.154255076496,0,Non-stationary,Non-seasonal
111,M1006,1992-06-30,1992-02-29,6327.1924,6322.0796,6477.169,6264.0645,6347.9,6509.3,5694.695744923504,7323.904255076496,0,Non-stationary,Non-seasonal
112,M1006,1992-07-31,1992-02-29,6304.58,6297.447,6374.3643,6134.419,6360.25,6462.45,5647.845744923504,7277.054255076496,0,Non-stationary,Non-seasonal
113,M1006,1992-08-31,1992-02-29,6339.2637,6265.6143,6256.3804,6209.7295,6387.4,6426.65,5612.045744923504,7241.254255076496,0,Non-stationary,Non-seasonal
114,M1006,1992-09-30,1992-02-29,6373.9937,6300.468,6302.029,6162.9946,6386.0,6430.4,5615.795744923504,7245.004255076496,0,Non-stationary,Non-seasonal
115,M1006,1992-10-31,1992-02-29,6378.464,6334.872,6331.2773,6150.797,6352.5,6417.85,5603.245744923504,7232.454255076496,0,Non-stationary,Non-seasonal
116,M1006,1992-11-30,1992-02-29,6384.9004,6367.395,6312.4863,6196.757,6324.0,6428.35,5613.745744923504,7242.954255076496,0,Non-stationary,Non-seasonal
117,M1006,1992-12-31,1992-02-29,6348.321,6384.7866,6408.4565,6173.6646,6287.15,6391.4,5576.795744923504,7206.004255076496,0,Non-stationary,Non-seasonal
118,M1006,1993-01-31,1992-02-29,6384.7544,6365.238,6342.7676,6111.062,6269.3,6360.9,5546.295744923504,7175.504255076496,0,Non-stationary,Non-seasonal
119,M1006,1993-02-28,1992-02-29,6380.5117,6367.103,6398.421,6041.569,6267.75,6348.1,5533.495744923504,7162.704255076496,0,Non-stationary,Non-seasonal
120,M1007,1992-03-31,1992-02-29,6447.79,6409.834,6443.007,6288.8774,6416.0,6389.5,5417.147240829289,7361.852759170711,0,Non-stationary,Non-seasonal
121,M1007,1992-04-30,1992-02-29,6453.8467,6495.9116,6405.4194,6361.4927,6430.0,6298.0,5325.647240829289,7270.352759170711,0,Non-stationary,Non-seasonal
122,M1007,1992-05-31,1992-02-29,6418.878,6361.7695,6500.62,6240.344,6466.5,6253.5,5281.147240829289,7225.852759170711,0,Non-stationary,Non-seasonal
123,M1007,1992-06-30,1992-02-29,6456.896,6313.2812,6486.597,6259.158,6511.0,6221.0,5248.647240829289,7193.352759170711,0,Non-stationary,Non-seasonal
124,M1007,1992-07-31,1992-02-29,6431.985,6277.9854,6379.5,6127.197,6499.0,6149.5,5177.147240829289,7121.852759170711,0,Non-stationary,Non-seasonal
125,M1007,1992-08-31,1992-02-29,6466.5073,6260.545,6273.2407,6213.842,6511.0,6146.0,5173.647240829289,7118.352759170711,0,Non-stationary,Non-seasonal
126,M1007,1992-09-30,1992-02-29,6515.216,6318.677,6338.535,6184.739,6464.5,6261.5,5289.147240829289,7233.852759170711,0,Non-stationary,Non-seasonal
127,M1007,1992-10-31,1992-02-29,6525.3096,6352.59,6385.416,6171.754,6460.5,6232.5,5260.147240829289,7204.852759170711,0,Non-stationary,Non-seasonal
128,M1007,1992-11-30,1992-02-29,6541.8516,6419.468,6388.4253,6275.1904,6414.5,6316.5,5344.147240829289,7288.852759170711,0,Non-stationary,Non-seasonal
129,M1007,1992-12-31,1992-02-29,6537.1265,6466.951,6497.4385,6276.6987,6338.5,6335.5,5363.147240829289,7307.852759170711,0,Non-stationary,Non-seasonal
130,M1007,1993-01-31,1992-02-29,6579.4937,6489.7666,6468.1846,6237.6006,6366.5,6423.0,5450.647240829289,7395.352759170711,0,Non-stationary,Non-seasonal
131,M1007,1993-02-28,1992-02-29,6584.8384,6490.1187,6544.6577,6187.103,6380.5,6409.5,5437.147240829289,7381.852759170711,0,Non-stationary,Non-seasonal
132,M1008,1992-03-31,1992-02-29,8576.341,8640.546,8682.201,8462.803,8529.2,8909.1,7570.539949736234,10247.660050263767,0,Non-stationary,Non-seasonal
133,M1008,1992-04-30,1992-02-29,8578.965,8799.388,8675.213,8607.8955,8485.9,8936.1,7597.539949736234,10274.660050263767,0,Non-stationary,Non-seasonal
134,M1008,1992-05-31,1992-02-29,8551.637,8644.459,8791.553,8478.885,8458.3,8889.3,7550.739949736233,10227.860050263766,0,Non-stationary,Non-seasonal
135,M1008,1992-06-30,1992-02-29,8578.546,8632.83,8831.336,8540.434,8422.3,8854.9,7516.339949736233,10193.460050263766,0,Non-stationary,Non-seasonal
136,M1008,1992-07-31,1992-02-29,8571.584,8624.537,8721.232,8391.751,8392.2,8842.6,7504.039949736234,10181.160050263767,0,Non-stationary,Non-seasonal
137,M1008,1992-08-31,1992-02-29,8611.747,8584.411,8552.681,8491.107,8477.0,8813.5,7474.939949736234,10152.060050263766,0,Non-stationary,Non-seasonal
138,M1008,1992-09-30,1992-02-29,8636.644,8616.019,8600.873,8412.643,8455.4,8788.3,7449.739949736233,10126.860050263766,0,Non-stationary,Non-seasonal
139,M1008,1992-10-31,1992-02-29,8649.481,8646.191,8625.295,8376.801,8427.9,8735.7,7397.1399497362345,10074.260050263767,0,Non-stationary,Non-seasonal
140,M1008,1992-11-30,1992-02-29,8646.197,8674.547,8583.587,8432.717,8428.4,8720.8,7382.239949736233,10059.360050263766,0,Non-stationary,Non-seasonal
141,M1008,1992-12-31,1992-02-29,8603.604,8716.816,8737.862,8422.941,8319.9,8728.1,7389.539949736234,10066.660050263767,0,Non-stationary,Non-seasonal
142,M1008,1993-01-31,1992-02-29,8664.965,8689.416,8653.536,8334.268,8299.8,8696.9,7358.339949736233,10035.460050263766,0,Non-stationary,Non-seasonal
143,M1008,1993-02-28,1992-02-29,8640.227,8656.096,8687.166,8210.167,8351.4,8600.1,7261.539949736234,9938.660050263767,0,Non-stationary,Non-seasonal
144,M1009,1992-03-31,1992-02-29,6907.6577,7016.505,7077.0483,6867.0225,6901.0,7638.2,5886.964290657048,9389.435709342952,0,Non-stationary,Non-seasonal
145,M1009,1992-04-30,1992-02-29,6922.9863,7161.7783,7073.115,7012.0024,6725.4,7629.8,5878.564290657048,9381.035709342952,0,Non-stationary,Non-seasonal
146,M1009,1992-05-31,1992-02-29,6884.929,7005.4907,7121.7476,6884.0605,6713.2,7520.4,5769.164290657049,9271.63570934295,0,Non-stationary,Non-seasonal
147,M1009,1992-06-30,1992-02-29,6886.2515,7004.051,7166.616,6965.213,6607.0,7500.8,5749.564290657048,9252.035709342952,0,Non-stationary,Non-seasonal
148,M1009,1992-07-31,1992-02-29,6870.781,6969.4756,7040.673,6795.954,6558.8,7435.0,5683.764290657049,9186.235709342951,0,Non-stationary,Non-seasonal
149,M1009,1992-08-31,1992-02-29,6923.4126,6916.0684,6893.0864,6865.6934,6414.8,7258.0,5506.764290657049,9009.235709342951,0,Non-stationary,Non-seasonal
150,M1009,1992-09-30,1992-02-29,7008.5894,7020.2812,7039.979,6868.0977,6177.4,7448.0,5696.764290657049,9199.235709342951,0,Non-stationary,Non-seasonal
151,M1009,1992-10-31,1992-02-29,7020.1143,7014.9795,7017.753,6805.8105,6174.4,7325.6,5574.364290657049,9076.835709342951,0,Non-stationary,Non-seasonal
152,M1009,1992-11-30,1992-02-29,6988.7295,7011.3667,6953.0723,6823.274,6004.4,7237.8,5486.564290657048,8989.035709342952,0,Non-stationary,Non-seasonal
153,M1009,1992-12-31,1992-02-29,6929.6235,6998.432,7033.7593,6760.8696,6043.8,7079.6,5328.364290657049,8830.835709342951,0,Non-stationary,Non-seasonal
154,M1009,1993-01-31,1992-02-29,6942.6553,6934.1377,6914.414,6660.4897,5943.4,7001.6,5250.364290657049,8752.835709342951,0,Non-stationary,Non-seasonal
155,M1009,1993-02-28,1992-02-29,6942.561,6949.914,6970.9956,6581.571,5879.4,6938.8,5187.564290657048,8690.035709342952,0,Non-stationary,Non-seasonal
156,M101,1993-10-31,1993-09-30,4417.1587,4374.554,4388.565,4263.3438,4626.0,4336.0,2932.53119931469,5739.46880068531,0,Stationary,Seasonal
157,M101,1993-11-30,1993-09-30,4499.8584,4439.12,4403.7754,4359.9087,4624.0,4434.0,3030.53119931469,5837.46880068531,0,Stationary,Seasonal
158,M101,1993-12-31,1993-09-30,4662.409,4611.1963,4725.088,4513.3384,5538.0,4906.0,3502.53119931469,6309.46880068531,0,Stationary,Seasonal
159,M101,1994-01-31,1993-09-30,4540.2695,4472.339,4557.858,4422.0156,5836.0,4476.0,3072.53119931469,5879.46880068531,0,Stationary,Seasonal
160,M101,1994-02-28,1993-09-30,4586.9497,4621.372,4602.372,4433.008,4830.0,4620.0,3216.53119931469,6023.46880068531,0,Stationary,Seasonal
161,M101,1994-03-31,1993-09-30,4724.583,4726.925,4736.172,4635.385,4568.0,5286.0,3882.53119931469,6689.46880068531,0,Stationary,Seasonal
162,M101,1994-04-30,1993-09-30,4428.273,4302.554,4238.957,4166.81,3908.0,4078.0,2674.53119931469,5481.46880068531,0,Stationary,Seasonal
